TP_Pct,SL_Pct,Total_Trades,Wins,Losses,Win_Rate_Pct,Total_Profit,Avg_PnL_Pct,Avg_Hold_Days,TP_Exits,SL_Exits,Timeout_Exits
60,15,397,202,195,50.88,853554.35,8.6,38.6,53,168,166
60,12,397,183,214,46.1,806645.15,8.1274,34.0,51,205,133
55,15,397,202,195,50.88,806411.99,8.1251,38.0,58,168,161
50,15,397,203,194,51.13,786535.01,7.9248,37.1,71,168,148
55,12,397,183,214,46.1,762002.79,7.6776,33.4,56,205,128
50,12,397,184,213,46.35,741437.48,7.4704,32.5,68,204,117
40,15,397,206,191,51.89,704467.86,7.0979,34.7,97,167,123
60,10,397,152,245,38.29,688725.87,6.9393,29.2,48,238,105
40,12,397,187,210,47.1,668516.38,6.7357,30.2,94,202,93
35,15,397,207,190,52.14,657758.77,6.6273,32.7,118,166,103
55,10,397,152,245,38.29,647833.51,6.5273,28.6,53,238,100
50,10,397,153,244,38.54,627633.58,6.3238,27.8,64,237,90
35,12,397,188,209,47.36,623543.3,6.2826,28.3,114,201,74
30,15,397,209,188,52.64,577521.26,5.8189,30.2,141,165,82
27,15,397,213,184,53.65,556997.51,5.6121,28.2,159,162,67
60,8,397,124,273,31.23,552388.45,5.5656,24.1,42,271,79
60,7,397,115,282,28.97,551768.59,5.5594,21.7,42,281,69
30,12,397,190,207,47.86,547074.12,5.5121,25.8,135,199,56
40,10,397,156,241,39.29,542460.99,5.4656,25.8,85,235,71
27,12,397,194,203,48.87,524224.36,5.2819,23.9,150,196,44
55,8,397,124,273,31.23,514831.06,5.1872,23.6,46,271,75
25,15,397,214,183,53.9,514285.08,5.1817,26.9,169,161,58
55,7,397,115,282,28.97,514211.2,5.181,21.2,46,281,65
35,10,397,158,239,39.8,509563.84,5.1341,24.0,104,233,54
50,8,397,125,272,31.49,502030.9,5.0582,22.9,55,270,67
50,7,397,116,281,29.22,495493.16,4.9924,20.6,54,280,58
25,12,397,195,202,49.12,480723.29,4.8436,22.7,157,195,38
30,10,397,161,236,40.55,454684.88,4.5812,21.8,125,230,37
60,5,397,88,309,22.17,445532.22,4.489,16.3,37,308,47
27,10,397,166,231,41.81,428344.77,4.3158,20.1,137,226,29
22,15,397,216,181,54.41,425709.43,4.2893,25.1,179,160,49
40,8,397,126,271,31.74,415052.34,4.1819,21.2,74,269,49
55,5,397,88,309,22.17,413090.88,4.1621,15.9,40,308,44
40,7,397,117,280,29.47,404537.89,4.0759,19.0,71,279,42
50,5,397,89,308,22.42,398862.3,4.0188,15.3,46,307,39
22,12,397,198,199,49.87,397989.73,4.01,21.3,165,193,32
35,8,397,128,269,32.24,391073.8,3.9403,19.5,90,267,35
20,15,397,220,177,55.42,382144.36,3.8503,23.7,190,157,41
25,10,397,168,229,42.32,382024.35,3.8491,19.1,140,224,28
35,7,397,119,278,29.97,375412.09,3.7825,17.5,84,277,31
20,12,397,202,195,50.88,359174.66,3.6189,19.9,176,190,24
30,8,397,132,265,33.25,355727.06,3.5842,17.4,109,263,21
27,8,397,138,259,34.76,336927.07,3.3947,16.2,119,257,17
30,7,397,122,275,30.73,334061.3,3.3659,15.7,101,274,18
27,7,397,128,269,32.24,318871.68,3.2128,14.5,110,268,15
40,5,397,90,307,22.67,312970.48,3.1534,14.3,55,306,31
25,8,397,142,255,35.77,310427.07,3.1277,15.4,123,253,17
22,10,397,171,226,43.07,308539.82,3.1087,17.9,146,221,25
25,7,397,133,264,33.5,303871.68,3.0617,13.8,115,263,15
15,12,397,224,173,56.42,297556.26,2.998,16.2,210,169,12
35,5,397,92,305,23.17,293724.31,2.9594,13.1,65,304,23
15,15,397,239,158,60.2,291023.97,2.9322,19.4,221,143,25
20,10,397,176,221,44.33,281714.63,2.8384,16.8,157,217,18
30,5,397,95,302,23.93,270660.97,2.7271,11.6,81,301,11
27,5,397,100,297,25.19,255600.65,2.5753,10.7,88,296,9
25,5,397,105,292,26.45,249100.65,2.5098,10.1,93,291,9
22,8,397,145,252,36.52,248192.54,2.5007,14.3,129,250,14
22,7,397,135,262,34.01,239637.15,2.4145,12.8,120,261,12
15,10,397,199,198,50.13,239596.23,2.4141,13.3,192,195,6
12,15,397,253,144,63.73,231359.18,2.3311,16.4,243,130,17
12,12,397,237,160,59.7,229744.21,2.3148,13.6,230,156,6
20,8,397,149,248,37.53,222426.42,2.2411,13.3,138,246,9
20,7,397,139,258,35.01,214709.39,2.1633,12.0,128,257,8
22,5,397,107,290,26.95,195824.73,1.973,9.3,97,289,7
15,7,397,161,236,40.55,183362.97,1.8475,9.5,157,235,2
15,8,397,171,226,43.07,182112.97,1.8349,10.4,167,225,2
10,15,397,265,132,66.75,181028.56,1.824,14.5,257,121,14
12,10,397,213,184,53.65,179937.18,1.813,11.1,209,181,4
10,12,397,248,149,62.47,176629.96,1.7796,11.9,243,145,6
20,5,397,110,287,27.71,171014.49,1.7231,8.6,102,286,5
10,10,397,228,169,57.43,150242.57,1.5138,9.7,225,166,4
12,7,397,178,219,44.84,149154.67,1.5028,8.0,175,218,1
15,5,397,130,267,32.75,145862.97,1.4697,6.6,126,266,2
12,8,397,188,209,47.36,144654.67,1.4575,8.8,185,208,1
10,7,397,197,200,49.62,142210.06,1.4328,7.0,195,199,1
10,8,397,207,190,52.14,137460.06,1.385,7.6,205,189,1
12,5,397,144,253,36.27,113654.67,1.1451,5.5,141,252,1
10,5,397,159,238,40.05,99210.06,0.9996,5.0,157,237,1
